START LOG +++++++++++++++++
> 07/07/2022 10:42:35
-----------------------
1 | 3902
2 | 3704
3 | 3625
4 | 1152
5 | 1579
6 | 1776
7 | 2942
8 | 756
9 | 3894
10 | 3948
11 | 1925
12 | 5282
13 | 2181
14 | 2698
15 | 3528
16 | 4867
17 | 1673
18 | 240
19 | 1497
20 | 249
21 | 1546
22 | 4432
23 | 1603
24 | 1479
25 | 4162
26 | 1486
27 | 4205
28 | 1956
29 | 1975
30 | 1386
31 | 3768
32 | 668
33 | 2020
34 | 4898
35 | 226
36 | 3813
37 | 1425
38 | 1987
39 | 5212
40 | 181
41 | 800
42 | 5491
43 | 5237
44 | 5331
45 | 3796
46 | 697
47 | 4233
48 | 209
49 | 2096
50 | 3841
51 | 3260
52 | 2401
53 | 341
54 | 3398
55 | 1769
56 | 2338
57 | 1754
58 | 5368
59 | 2898
60 | 2120
61 | 2084
62 | 5013
63 | 965
64 | 5174
65 | 1125
66 | 2288
67 | 1483
68 | 3109
69 | 3367
70 | 3384
71 | 3411
72 | 4488
73 | 1597
74 | 2784
75 | 288
76 | 3584
77 | 2548
78 | 5209
79 | 1290
80 | 4732
81 | 3496
82 | 2080
83 | 905
84 | 2614
85 | 4414
86 | 1048
87 | 155
88 | 1451
89 | 4057
90 | 1491
91 | 4301
92 | 866
93 | 1820
94 | 4799
95 | 283
96 | 3739
97 | 5311
98 | 5232
99 | 886
100 | 1344
101 | 1913
102 | 2368
103 | 1117
104 | 1209
105 | 5233
106 | 3932
107 | 1789
108 | 3318
109 | 1146
110 | 4709
111 | 2408
112 | 1257
113 | 3611
114 | 3852
115 | 4905
116 | 4692
117 | 465
118 | 3155
119 | 1798
120 | 4644
121 | 2418
122 | 1928
123 | 2933
124 | 4887
125 | 4408
126 | 4369
127 | 382
128 | 495
129 | 1439
130 | 56
131 | 3575
132 | 2154
133 | 4385
134 | 5408
135 | 5051
136 | 3396
137 | 5394
138 | 1995
139 | 3074
140 | 4861
END LOG ----------------
START LOG +++++++++++++++++
> 07/07/2022 10:48:56
-----------------------
1 | 3902
2 | 3704
3 | 3625
4 | 1152
5 | 1579
6 | 1776
7 | 2942
8 | 756
9 | 3894
10 | 3948
11 | 1925
12 | 5282
13 | 2181
14 | 2698
15 | 3528
16 | 4867
17 | 1673
18 | 240
19 | 1497
20 | 249
21 | 1546
22 | 4432
23 | 1603
24 | 1479
25 | 4162
26 | 1486
27 | 4205
28 | 1956
29 | 1975
30 | 1386
31 | 3768
32 | 668
33 | 2020
34 | 4898
35 | 226
36 | 3813
37 | 1425
38 | 1987
39 | 5212
40 | 181
41 | 800
42 | 5491
43 | 5237
44 | 5331
45 | 3796
46 | 697
47 | 4233
48 | 209
49 | 2096
50 | 3841
51 | 3260
52 | 2401
53 | 341
54 | 3398
55 | 1769
56 | 2338
57 | 1754
58 | 5368
59 | 2898
60 | 2120
61 | 2084
62 | 5013
63 | 965
64 | 5174
65 | 1125
66 | 2288
67 | 1483
68 | 3109
69 | 3367
70 | 3384
71 | 3411
72 | 4488
73 | 1597
74 | 2784
75 | 288
76 | 3584
77 | 2548
78 | 5209
79 | 1290
80 | 4732
81 | 3496
82 | 2080
83 | 905
84 | 2614
85 | 4414
86 | 1048
87 | 155
88 | 1451
89 | 4057
90 | 1491
91 | 4301
92 | 866
93 | 1820
94 | 4799
95 | 283
96 | 3739
97 | 5311
98 | 5232
99 | 886
100 | 1344
101 | 1913
102 | 2368
103 | 1117
104 | 1209
105 | 5233
106 | 3932
107 | 1789
108 | 3318
109 | 1146
110 | 4709
111 | 2408
112 | 1257
113 | 3611
114 | 3852
115 | 4905
116 | 4692
117 | 465
118 | 3155
119 | 1798
120 | 4644
121 | 2418
122 | 1928
123 | 2933
124 | 4887
125 | 4408
126 | 4369
127 | 382
128 | 495
129 | 1439
130 | 56
131 | 3575
132 | 2154
133 | 4385
134 | 5408
135 | 5051
136 | 3396
137 | 5394
138 | 1995
139 | 3074
140 | 4861
END LOG ----------------
START LOG +++++++++++++++++
> 07/07/2022 16:12:58
-----------------------
1 | 3902
2 | 3704
3 | 3625
4 | 1152
5 | 1579
6 | 1776
7 | 2942
8 | 756
9 | 3894
10 | 3948
11 | 1925
12 | 5282
13 | 2181
14 | 2698
15 | 3528
16 | 4867
17 | 1673
18 | 240
19 | 1497
20 | 249
21 | 1546
22 | 4432
23 | 1603
24 | 1479
25 | 4162
26 | 1486
27 | 4205
28 | 1956
29 | 1975
30 | 1386
31 | 3768
32 | 668
33 | 2020
34 | 4898
35 | 226
36 | 3813
37 | 1425
38 | 1987
39 | 5212
40 | 181
41 | 800
42 | 5491
43 | 5237
44 | 5331
45 | 3796
46 | 697
47 | 4233
48 | 209
49 | 2096
50 | 3841
51 | 3260
52 | 2401
53 | 341
54 | 3398
55 | 1769
56 | 2338
57 | 1754
58 | 5368
59 | 2898
60 | 2120
61 | 2084
62 | 5013
63 | 965
64 | 5174
65 | 1125
66 | 2288
67 | 1483
68 | 3109
69 | 3367
70 | 3384
71 | 3411
72 | 4488
73 | 1597
74 | 2784
75 | 288
76 | 3584
77 | 2548
78 | 5209
79 | 1290
80 | 4732
81 | 3496
82 | 2080
83 | 905
84 | 2614
85 | 4414
86 | 1048
87 | 155
88 | 1451
89 | 4057
90 | 1491
91 | 4301
92 | 866
93 | 1820
94 | 4799
95 | 283
96 | 3739
97 | 5311
98 | 5232
99 | 886
100 | 1344
101 | 1913
102 | 2368
103 | 1117
104 | 1209
105 | 5233
106 | 3932
107 | 1789
108 | 3318
109 | 1146
110 | 4709
111 | 2408
112 | 1257
113 | 3611
114 | 3852
115 | 4905
116 | 4692
117 | 465
118 | 3155
119 | 1798
120 | 4644
121 | 2418
122 | 1928
123 | 2933
124 | 4887
125 | 4408
126 | 4369
127 | 382
128 | 495
129 | 1439
130 | 56
131 | 3575
132 | 2154
133 | 4385
134 | 5408
135 | 5051
136 | 3396
137 | 5394
138 | 1995
139 | 3074
140 | 4861
END LOG ----------------
START LOG +++++++++++++++++
> 07/07/2022 16:13:15
-----------------------
1 | 3902
2 | 3704
3 | 3625
4 | 1152
5 | 1579
6 | 1776
7 | 2942
8 | 756
9 | 3894
10 | 3948
11 | 1925
12 | 5282
13 | 2181
14 | 2698
15 | 3528
16 | 4867
17 | 1673
18 | 240
19 | 1497
20 | 249
21 | 1546
22 | 4432
23 | 1603
24 | 1479
25 | 4162
26 | 1486
27 | 4205
28 | 1956
29 | 1975
30 | 1386
31 | 3768
32 | 668
33 | 2020
34 | 4898
35 | 226
36 | 3813
37 | 1425
